Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
19172655	Changes in the interaction of resting-state neural networks from adolescence to adulthood.	Olin Neuropsychiatry Research Center, Institute of Living/Hartford Hospital, Hartford, Connecticut 06106, USA. msteven@harthosp.org
19941896	Correction of low-frequency physiological noise from the resting state BOLD fMRI--Effect on ICA default mode analysis at 1.5 T.	Department of Diagnostic Radiology, Oulu University Hospital, Finland. tstarck@gmail.com
22245346	Subspace-based Identification Algorithm for characterizing causal networks in resting brain.	Control and Intelligence Processing Center of Excellence, School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran 14395-515, Iran.
22662152	Selective impairments of resting-state networks in minimal hepatic encephalopathy.	Department of Medical Imaging, Jinling Hospital, Clinical School of Medical College, Nanjing University, Nanjing, Jiangsu Province, China.
22457774	Disrupted small-world brain networks in moderate Alzheimer's disease: a resting-state FMRI study.	Imaging Department, TongJi University, TongJi Hospital Shanghai, China.
20433323	Brain networks: foundations and futures in bipolar disorder.	Department of Psychiatry, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, UK. Lena.Palaniyappan@ncl.ac.uk
16361943	Decreased regional homogeneity in schizophrenia: a resting state functional magnetic resonance imaging study.	Institute of Mental Health, Second Xiangya Hospital, Central South University, Changsha, Hunan, China.
20063361	The effect of model order selection in group PICA.	Department of Diagnostic Radiology, Oulu University Hospital, Finland. ahmed.abou.elseoud@oulu.fi
19100845	Long-term motor training induced changes in regional cerebral blood flow in both task and resting states.	Department of Radiology, University of Iowa, Iowa City, 52242, USA. jinhu-xiong@uiowa.edu
20457896	Functional connectivity density mapping.	National Institute on Alcohol Abuse and Alcoholism, Bethesda, MD 20892, USA. tomasi@bnl.gov
16290018	Correlating the alpha rhythm to BOLD using simultaneous EEG/fMRI: inter-subject variability.	VU University Medical Centre (Dpt. PMT), De Boelelaan 1117, 1081 HV, Amsterdam, the Netherlands. sonia.gonscalves@netcabo.pt
21801165	Functional MRI connectivity as a predictor of the surgical outcome of epilepsy.	Department of Diagnostic Radiology, Yale University School of Medicine, New Haven, Connecticut 06520-8043, USA. michiro.negishi@yale.edu
21347331	Extra-visual functional and structural connection abnormalities in Leber's hereditary optic neuropathy.	Neuroimaging Research Unit, Scientific Institute and University Ospedale San Raffaele, Milan, Italy.
20534464	Resting-state functional MRI in depression unmasks increased connectivity between networks via the dorsal nexus.	Department of Psychiatry, Washington University School of Medicine, St Louis, MO 63110, USA. yvette@npg.wustl.edu
21430278	Brain activity at rest: a multiscale hierarchical functional organization.	Univ. de Bordeaux, Bordeaux, France.
20558415	Alterations in brain structure and functional connectivity in prescription opioid-dependent patients.	P.A.I.N. Group, Harvard Medical School, c/o Brain Imaging Centre, McLean Hospital, Department of Psychiatry, 115 Mill Street, Belmont, MA 02478-9106, USA.
23273724	A Treatment-Resistant Default Mode Subnetwork in Major Depression.	Department of Automatic Control (BL, HS, LW, L-LZ, DH), College of Mechatronics and Automation, National University of Defense Technology, Changsha, Hunan.
22378134	Incidental findings in neuroimaging research: a framework for anticipating the next frontier.	National Core for Neuroethics, Division of Neurology, Department of Medicine, The University of British Columbia, 2211 Wesbrook Mall, Koerner, Vancouver, BC, Canada.
21458537	Transient alcohol craving suppression by rTMS of dorsal anterior cingulate: an fMRI and LORETA EEG study.	Brai(2)n, TRI & Department of Neurosurgery, University Hospital Antwerp, Belgium. dirk.de.ridder@uza.be
12377132	Simulation of the effects of global normalization procedures in functional MRI.	Howard Florey Institute, University of Melbourne, Australia.
22255477	A generalized estimating equations approach for resting-state functional MRI group analysis.	Division of Biostatistics, Washington University School of Medicine, St Louis, MO 63130, USA. gina@wubios.wustl.edu
22451310	Three subsystems of the inferior parietal cortex are differently affected in mild cognitive impairment.	Department of Radiology, Xuanwu Hospital, Capital Medical University, Beijing, China.
23161519	Improved correspondence of resting-state networks after macroanatomical alignment.	Department of Cognitive Neuroscience, Faculty of Psychology and Neuroscience, Maastricht University, UNS 40, 6229 ER, Maastricht, The Netherlands; Maastricht Brain Imaging Center, Maastricht University, Maastricht, The Netherlands. martin.frost@maastrichtuniversity.nl.
22776534	Predictors of remission in depression to individual and combined treatments (PReDICT): study protocol for a randomized controlled trial.	Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, 1256 Briarcliff Road, Building A, 3rd Floor, Atlanta, GA 30306, USA. bdunlop@emory.edu
14673805	Detecting low-frequency functional connectivity in fMRI using a self-organizing map (SOM) algorithm.	Department of Applied Physics, University of Michigan, Ann Arbor, Michigan, USA. speltier@bme.emory.edu
22913365	Altered spontaneous activity in young chronic cigarette smokers revealed by regional homogeneity.	The Institute of Mental Health, the Second Xiangya Hospital, Central South University, 139 Renmin Road, Changsha, Hunan 410011, People's Republic of China.
21907292	Altered spontaneous activity in Alzheimer's disease and mild cognitive impairment revealed by Regional Homogeneity.	Department of Neurology, Institute of Geriatrics and Gerontology, Chinese PLA General Hospital, Beijing 100853, China.
18951982	Influence of heart rate on the BOLD signal: the cardiac response function.	Department of Electrical Engineering, Stanford University, Lucas MRI/S Center, Stanford, CA 94305-5488, USA. catie@stanford.edu
22073890	[Electroacupuncture at Guanyuan (CV 4) and Zhongwan (CV 12) modulates functional connectivity of the brain network in healthy volunteers].	Department of Radiation, Guang'anmen Hospital Affiliated to China Academy of Chinese Medical Sciences, Beijing 100053, China. fangmgh@gmail.com
21574207	Methods of the pharmacological imaging of the cannabinoid system (PhICS) study: towards understanding the role of the brain endocannabinoid system in human cognition.	Department of Neurology and Neurosurgery, Rudolf Magnus Institute of Neuroscience, University Medical Center Utrecht, The Netherlands. h.h.vanhell@umcutrecht.nl
22916152	Effect of acupuncture in mild cognitive impairment and Alzheimer disease: a functional MRI study.	Department of Radiology, Xuanwu Hospital of Capital Medical University, Beijing, China.
21698705	Investigation of acupoint specificity by multivariate granger causality analysis from functional MRI data.	Key Laboratory of Complex Systems and Intelligence Science, Institute of Automation, Chinese Academy of Sciences, Beijing, China.
21451040	A parallel functional topography between medial and lateral prefrontal cortex: evidence and implications for cognitive control.	Brain Imaging and Analysis Center, Duke University, Durham, North Carolina 27708, USA.
19783579	Setting the frame: the human brain activates a basic low-frequency network for language processing.	Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany. lohmann@cbs.mpg.de
20053346	Alterations in regional homogeneity of resting-state brain activity in autism spectrum disorders.	Department of Diagnostic Radiology, University Hospital of Oulu, PO Box 50, 90029 Oulu, Finland. jyri-johan.paakki@ppshp.fi
20721313	A novel model-free data analysis technique based on clustering in a mutual information space: application to resting-state FMRI.	Royal Institute of Technology Stockholm, Sweden.
21921500	[Connections among motor-related areas revealed by resting-state functional-connectivity MRI].	The University of Tokyo Hospital.
22490587	Functional MRI study of mild Alzheimer's disease using amplitude of low frequency fluctuation analysis.	Department of Radiology, Tongji Hospital of Tongji University, Shanghai 200065, China.
22261925	Neural correlates of a single-session massage treatment.	Department of Neuroscience, Carleton University, 1125 Colonel By Drive, Ottawa, ON, Canada K1S 5B6.
21191807	Changes of brain structure and function in ADHD children.	Department of Medical Informatics and Medical Image, College of Biomedical Engineering and Medical Imaging, Third Military Medical University, Chongqing, China. qiumingguo@yahoo.com
23097273	Brain connectivity abnormalities extend beyond the sensorimotor network in peripheral neuropathy.	Neuroimaging Research Unit, Institute of Experimental Neurology, Division of Neuroscience, San Raffaele Scientific Institute, Vita-Salute San Raffaele University, Milan, Italy; Department of Neurology, San Raffaele Scientific Institute, Vita-Salute San Raffaele University, Milan, Italy.
20938177	Reduced precuneus deactivation during object naming in patients with mild cognitive impairment, Alzheimer's disease, and frontotemporal lobar degeneration.	Albert Ludwig University Freiburg, Germany. lars.frings@uniklinik-freiburg.de
19884607	Altered corticostriatal functional connectivity in obsessive-compulsive disorder.	Institut d'Alta Tecnologia-Parc de Recerca Biomèdica de Barcelona, Centro Radiológico Computerizado Corporació Sanitària, Barcelona, Spain. habj@unimelb.edu.au
